"主管機關","地區","熱點名稱","地址","緯度","經度"
"立法院","臺北市","立法院大門會客室","100臺北市中正區中山南路1號","25.0439998","121.5195803"
"立法院","臺北市","立法院議場","100臺北市中正區中山南路1號","25.0440480","121.5195590"
"教育部","臺北市","國家圖書館2樓參考室","100臺北市中正區中山南路20號","25.0367450","121.5190260"
"教育部","臺北市","國家圖書館5樓閱覽室","100臺北市中正區中山南路20號","25.0367450","121.5190260"
"教育部","臺北市","國家圖書館6樓閱覽室","100臺北市中正區中山南路20號","25.0367450","121.5190260"
"教育部","臺北市","國家圖書館B1樓閱覽室","100臺北市中正區中山南路20號","25.0367450","121.5190260"
"教育部","臺北市","國家圖書館閱覽室","100臺北市中正區中山南路20號","25.0367450","121.5190260"
"教育部","臺北市","國立中正文化中心國家戲劇院福華劇院軒入口處","100臺北市中正區中山南路21-1號","25.0367564","121.5190470"
"教育部","臺北市","國立中正文化中心國家音樂廳售票口左側","100臺北市中正區中山南路21-1號","25.0367564","121.5190470"
"文化部","臺北市","國立中正紀念堂管理處(民主大道)-7","100臺北市中正區中山南路21號","25.0348350","121.5217810"
"文化部","臺北市","國立中正紀念堂管理處堂內","100臺北市中正區中山南路21號","25.0367560","121.5190470"
"文化部","臺北市","國立中正紀念堂管理處迴廊(信義路)-5","100臺北市中正區中山南路21號","25.0348350","121.5217810"
"文化部","臺北市","國立中正紀念堂管理處迴廊(信義路)-6","100臺北市中正區中山南路21號","25.0348350","121.5217810"
"文化部","臺北市","國立中正紀念堂管理處迴廊(愛國東路)-1","100臺北市中正區中山南路21號","25.0348350","121.5217810"
"文化部","臺北市","國立中正紀念堂管理處迴廊(愛國東路)-2","100臺北市中正區中山南路21號","25.0348350","121.5217810"
"文化部","臺北市","國立中正紀念堂管理處迴廊(愛國東路)3","100臺北市中正區中山南路21號","25.0348350","121.5217810"
"文化部","臺北市","國立中正紀念堂管理處迴廊(杭州南路)-3","100臺北市中正區中山南路21號","25.0348350","121.5217810"
"文化部","臺北市","國立中正紀念堂管理處迴廊(杭州南路)-4","100臺北市中正區中山南路21號","25.0348350","121.5217810"
"教育部","臺北市","教育部一樓大廳","100臺北市中正區中山南路5號","25.0425483","121.5191835"
"教育部","臺北市","教育部前門廣場","100臺北市中正區中山南路5號","25.0425483","121.5191835"
"教育部","臺北市","國立臺灣大學附設醫院東址院區1樓大廳","100臺北市中正區中山南路7號","25.0403230","121.5191380"
"經濟部","臺北市","經濟部礦務局5樓公開閱覽室","100臺北市中正區中華路一段53號5樓","25.0433213","121.5089941"
